id;name;number;img_url
1;Checking Account;5210;card
2;synergize silver;83020;Business-focused Handmade National
3;Soft Regional customized;29677;silver withdrawal
4;withdrawal Granite foreground;40947;synthesizing bluetooth
5;Tactics;33704;Soft
6;Small embrace Loaf;83358;Dalasi auxiliary navigating
7;Wooden;17466;challenge
8;Norwegian Krone Buckinghamshire neutral;32276;Tactics Practical Metal Pizza
9;Factors PNG;754;visionary grey Anguilla
10;Maryland haptic generate;45165;parsing Functionality Identity
