id;name;benefits;price
1;synergy matrix Program;multi-tasking Regional Lari;39783
2;FTP;Kina Michigan channels;76932
3;conglomeration;Samoa Mission quantifying;71833
4;Producer Tasty Cotton Hat;THX;65634
5;Arkansas;UAE Dirham;85918
6;Buckinghamshire;Greens National;82836
7;Rubber Compatible Soft;Money Market Account Synchronised;59528
8;Plastic Sleek;technologies;37940
9;Corporate parsing Bahamian Dollar;efficient Cambridgeshire;67761
10;Credit Card Account Drive Incredible Concrete Gloves;Pakistan Rupee payment;57871
